muncod2;ufmun;VotBol2018;Obtos_100khabit
130300;AM-NHAMUNDÁ;0,1467;160,5818731
130310;AM-NOVA OLINDA DO NORTE;0,1954;176,5744556
130320;AM-NOVO AIRÃO;0,4142;159,3502622
130330;AM-NOVO ARIPUANÃ;0,1893;113,0868819
130340;AM-PARINTINS;0,175;307,1591715
130350;AM-PAUINI;0,2642;113,2502831
130353;AM-PRESIDENTE FIGUEIREDO;0,4223;253,5902313
130356;AM-RIO PRETO DA EVA;0,4695;203,9163943
130360;AM-SANTA ISABEL DO RIO NEGRO;0,3516;202,734934
130370;AM-SANTO ANTÔNIO DO IÇÁ;0,172;203,684844
130380;AM-SÃO GABRIEL DA CACHOEIRA;0,2242;237,0292336
130390;AM-SÃO PAULO DE OLIVENÇA;0,1234;162,8540166
130395;AM-SÃO SEBASTIÃO DO UATUMÃ;0,4259;128,3880171
130400;AM-SILVES;0,1651;239,8865991
130406;AM-TABATINGA;0,3087;186,8051759
130410;AM-TAPAUÁ;0,3172;128,2350198
130420;AM-TEFÉ;0,3018;309,1112633
130423;AM-TONANTINS;0,1577;175,9530792
130426;AM-UARINI;0,2278;184,6381093
130430;AM-URUCARÁ;0,211;307,5787402
130440;AM-URUCURITUBA;0,1898;147,4094949
140002;RR-AMAJARI;0,5895;156,2988434
140005;RR-ALTO ALEGRE;0,6021;186,9761444
140010;RR-BOA VISTA;0,7861;308,8576775
140015;RR-BONFIM;0,5746;193,4080103
140017;RR-CANTÁ;0,5839;152,7133897
140020;RR-CARACARAÍ;0,6342;218,9181793
140023;RR-CAROEBE;0,7065;177,0085554
140028;RR-IRACEMA;0,6064;108,7866109
140030;RR-MUCAJAÍ;0,6839;184,8428835
140040;RR-NORMANDIA;0,3378;230,2922941
140045;RR-PACARAIMA;0,4841;189,6442733
140047;RR-RORAINÓPOLIS;0,6587;179,0272851
140050;RR-SÃO JOÃO DA BALIZA;0,6273;109,7427143
140060;RR-SÃO LUIZ;0,6492;137,7410468
140070;RR-UIRAMUTÃ;0,1958;85,23534426
150010;PA-ABAETETUBA;0,244;133,1659247
150013;PA-ABEL FIGUEIREDO;0,355;134,5170837
150020;PA-ACARÁ;0,2508;50,3678653
150030;PA-AFUÁ;0,3373;35,69789382
150034;PA-ÁGUA AZUL DO NORTE;0,5277;51,03900838
150040;PA-ALENQUER;0,4743;209,5476237
150050;PA-ALMEIRIM;0,2754;123,1346565
150060;PA-ALTAMIRA;0,6328;238,2323682
150070;PA-ANAJÁS;0,3822;71,72866072
150080;PA-ANANINDEUA;0,5472;145,4962137
150085;PA-ANAPU;0,5347;129,0785228
150090;PA-AUGUSTO CORRÊA;0,2494;89,13431019
150095;PA-AURORA DO PARÁ;0,2918;41,48318336
150100;PA-AVEIRO;0,325;54,91823285
150110;PA-BAGRE;0,184;35,8621589
150120;PA-BAIÃO;0,2492;63,22977701
150125;PA-BANNACH;0,5853;91,29640901
150130;PA-BARCARENA;0,3375;164,4209175
150140;PA-BELÉM;0,5493;314,5212344
150145;PA-BELTERRA;0,459;135,3485224
150150;PA-BENEVIDES;0,4519;146,6439262
150157;PA-BOM JESUS DO TOCANTINS;0,4269;141,3344326
150160;PA-BONITO;0,2244;73,68291784
150170;PA-BRAGANÇA;0,3676;104,9449431
150172;PA-BRASIL NOVO;0,6195;251,8891688
150175;PA-BREJO GRANDE DO ARAGUAIA;0,3724;54,20054201
150178;PA-BREU BRANCO;0,4073;65,10613815
150180;PA-BREVES;0,3242;107,1070389
150190;PA-BUJARU;0,2475;127,0081011
150195;PA-CACHOEIRA DO PIRIÁ;0,2103;11,79941003
150200;PA-CACHOEIRA DO ARARI;0,174;92,56532166
150210;PA-CAMETÁ;0,2421;155,1961709
150215;PA-CANAÃ DOS CARAJÁS;0,6213;261,5612781
150220;PA-CAPANEMA;0,4304;156,4605155
150230;PA-CAPITÃO POÇO;0,3649;125,2232842
150240;PA-CASTANHAL;0,5481;186,7594986
150250;PA-CHAVES;0,235;8,432769743
150260;PA-COLARES;0,233;173,7691353
150270;PA-CONCEIÇÃO DO ARAGUAIA;0,541;75,21310379
150275;PA-CONCÓRDIA DO PARÁ;0,3498;81,03727715
150276;PA-CUMARU DO NORTE;0,4786;51,95576338
150277;PA-CURIONÓPOLIS;0,51;178,4817893
150280;PA-CURRALINHO;0,1568;89,99071064
150285;PA-CURUÁ;0,2084;118,1129716
150290;PA-CURUÇÁ;0,2445;174,7117257
150293;PA-DOM ELISEU;0,4368;56,93330431
150295;PA-ELDORADO DOS CARAJÁS;0,4231;68,03123521
150300;PA-FARO;0,1645;417,0141785
150304;PA-FLORESTA DO ARAGUAIA;0,4762;64,02679275
150307;PA-GARRAFÃO DO NORTE;0,2608;42,20056779
150309;PA-GOIANÉSIA DO PARÁ;0,3606;71,64916615
150310;PA-GURUPÁ;0,2249;38,95014382
150320;PA-IGARAPÉ-AÇU;0,2737;175,226119
150330;PA-IGARAPÉ-MIRI;0,3052;129,1907238
150340;PA-INHANGAPI;0,3708;111,0067458
150345;PA-IPIXUNA DO PARÁ;0,3254;56,20345651
150350;PA-IRITUIA;0,2373;49,15514593
150360;PA-ITAITUBA;0,557;242,9701621
150370;PA-ITUPIRANGA;0,3561;112,635867
150375;PA-JACAREACANGA;0,2451;303,4348829
150380;PA-JACUNDÁ;0,4085;70,99991548
150390;PA-JURUTI;0,3971;281,3109435
150400;PA-LIMOEIRO DO AJURU;0,2405;190,0812165
150405;PA-MÃE DO RIO;0,4451;196,1631812
150410;PA-MAGALHÃES BARATA;0,3035;175,4796444
150420;PA-MARABÁ;0,5591;137,1044822
150430;PA-MARACANÃ;0,3005;145,896244
150440;PA-MARAPANIM;0,3285;134,1050254
150442;PA-MARITUBA;0,4565;95,04185643
150445;PA-MEDICILÂNDIA;0,6207;113,9348672
150450;PA-MELGAÇO;0,2437;43,39336082
150460;PA-MOCAJUBA;0,2293;176,6443988
150470;PA-MOJU;0,2411;69,43260165
150475;PA-MOJUÍ DOS CAMPOS;0,556;180,3034071
150480;PA-MONTE ALEGRE;0,5144;287,7722636
150490;PA-MUANÁ;0,2073;61,9594042
150495;PA-NOVA ESPERANÇA DO PIRIÁ;0,395;37,43916136
150497;PA-NOVA IPIXUNA;0,4691;113,9225327
150500;PA-NOVA TIMBOTEUA;0,2712;91,12803489
150503;PA-NOVO PROGRESSO;0,7818;209,611055
150506;PA-NOVO REPARTIMENTO;0,4778;108,0098526
150510;PA-ÓBIDOS;0,2911;220,5727219
150520;PA-OEIRAS DO PARÁ;0,191;126,1072835
150530;PA-ORIXIMINÁ;0,4128;166,9037977
150540;PA-OURÉM;0,2591;44,83802264
150543;PA-OURILÂNDIA DO NORTE;0,5565;88,32846004
150548;PA-PACAJÁ;0,4814;60,78899929
150549;PA-PALESTINA DO PARÁ;0,3837;65,88483331
150550;PA-PARAGOMINAS;0,5814;169,6937558
150553;PA-PARAUAPEBAS;0,6154;184,3733945
150555;PA-PAU D'ARCO;0,4984;145,9055262
150560;PA-PEIXE-BOI;0,3224;49,52333787
150563;PA-PIÇARRA;0,4881;53,92496726
150565;PA-PLACAS;0,5227;93,60273707
150570;PA-PONTA DE PEDRAS;0,2151;83,64970079
150580;PA-PORTEL;0,2928;124,1074738
150590;PA-PORTO DE MOZ;0,2887;70,49957457
150600;PA-PRAINHA;0,3652;217,6387866
150610;PA-PRIMAVERA;0,2982;184,7575058
150611;PA-QUATIPURU;0,2588;117,5778954
150613;PA-REDENÇÃO;0,6632;214,6555486
150616;PA-RIO MARIA;0,5636;120,9256307
150618;PA-RONDON DO PARÁ;0,5168;135,6074641
150619;PA-RURÓPOLIS;0,5024;112,8489408
150620;PA-SALINÓPOLIS;0,3555;211,4320836
150630;PA-SALVATERRA;0,2523;109,4644662
150635;PA-SANTA BÁRBARA DO PARÁ;0,4127;113,8573936
150640;PA-SANTA CRUZ DO ARARI;0,2407;98,73617694
150650;PA-SANTA ISABEL DO PARÁ;0,4534;117,2299826
150655;PA-SANTA LUZIA DO PARÁ;0,2602;95,72752922
150658;PA-SANTA MARIA DAS BARREIRAS;0,5648;18,64888806
150660;PA-SANTA MARIA DO PARÁ;0,4352;92,51437995
150670;PA-SANTANA DO ARAGUAIA;0,5906;32,95933642
150680;PA-SANTARÉM;0,5637;283,9892445
150690;PA-SANTARÉM NOVO;0,1886;104,3374571
150700;PA-SANTO ANTÔNIO DO TAUÁ;0,3115;161,9973318
150710;PA-SÃO CAETANO DE ODIVELAS;0,2737;177,2853186
150715;PA-SÃO DOMINGOS DO ARAGUAIA;0,3825;148,6872481
150720;PA-SÃO DOMINGOS DO CAPIM;0,2523;78,1518647
150730;PA-SÃO FÉLIX DO XINGU;0,6008;28,01970719
150740;PA-SÃO FRANCISCO DO PARÁ;0,3656;163,7073416
150745;PA-SÃO GERALDO DO ARAGUAIA;0,4679;116,7142915
150746;PA-SÃO JOÃO DA PONTA;0,2827;114,0250855
150747;PA-SÃO JOÃO DE PIRABAS;0,3037;151,8767629
150750;PA-SÃO JOÃO DO ARAGUAIA;0,3521;64,30408688
150760;PA-SÃO MIGUEL DO GUAMÁ;0,3448;91,54714678
150770;PA-SÃO SEBASTIÃO DA BOA VISTA;0,2136;78,82882883
150775;PA-SAPUCAIA;0,4572;84,31703204
150780;PA-SENADOR JOSÉ PORFÍRIO;0,3372;145,8226111
150790;PA-SOURE;0,2447;63,05667218
150795;PA-TAILÂNDIA;0,442;94,03887567
150796;PA-TERRA ALTA;0,3217;170,6484642
150797;PA-TERRA SANTA;0,4144;271,7246524
150800;PA-TOMÉ-AÇU;0,3713;99,29547496
150803;PA-TRACUATEUA;0,1867;61,37149133
150805;PA-TRAIRÃO;0,6084;110,5903418
150808;PA-TUCUMÃ;0,627;138,8818747
150810;PA-TUCURUÍ;0,4513;190,0421436
